Marca comercial,Ingrediente activo,CT,Unidad
SERQUEL,NONIL FENOL ETOXILADO,III,Lt
SER DRIFT,NONIL FENOL ETOXILADO,III,Lt
VULCAN 50,GLIFOSATO,III,Lt
"ABAMECTINA 1,8 JNG",ABAMECTINA,III,Lt
NITRUR DOPPIO,CARBENDAZIM + TIRAM,IV,Lt
PUNTAL,TEBUCONAZOLE + AZOXISTROBINA,IV,Lt
CORRECTOR J.O MAX LIQUIDO,ACIDO FOSFORICO,IV,Lt
PARAQUAT SINON,PARAQUAT,II,Lt
"FAST 1,8 ",ABAMECTINA,III,Lt
DERTHORAM 40 FW,MANCOZEB,III,Lt
ADAMA ESSENTIALS ACIERTO 90 EC,ACETOCLOR,II,Lt
EL AGRICULTOR,ACEITE DE SOJA,IV,Lt
IMUNIT,ALFACIPERMETRINA + TEFLUBENZURON,II,Lt
FRUTALES,ACEITE MINERAL,III,Lt
ANTIDERIVA NIVELAGRO,DODECIL BENCENO SULFONATO DE SODIO,III,Lt
NIVELAGRO,DODECIL BENCENO SULFONATO DE TRIETANOLAMINA Y SODIO,III,Lt
DUPLO ,IMIDACLOPRID + TEBUCONAZOLE,II,Lt
ZURCO,DICAMBA,III,Lt
MERCURY,BIFENTRIN,II,Lt
BISTAR 10 EC,BIFENTRIN,II,Lt
BISTAR,BIFENTRIN,II,Lt
CLEAN LEAF 43 SC,TEBUCONAZOLE,IV,Lt
CLEAN LEAF 25 EC,TEBUCONAZOLE,IV,Lt
COADYUVANTE HUSSAR PLUS,ALCOHOL ALCOXILADO,IV,Lt
CHACAL,BIFENTRIN,II,Lt
CRISTAL,IMAZETAPIR + IMAZAPIR,IV,Gr
SICURO,IMIDACLOPRID + CARBENDAZIM + TIRAM,III,Lt
FURY 20 EW,ZETAMETRINA,II,Lt
TRIPICK,FENOXAPROP-P-ETIL,IV,Lt
FENDONA FORESTAL,ALFACIPERMETRINA ,III,Lt
TEBUCONAZOLE SQ 6,TEBUCONAZOLE,IV,Lt
OTHAR PLUS,CIPERMETRINA,II,Lt
PROTEUS,TIACLOPRID + DELTAMETRINA,II,Lt
ESTRELLA IMI PLUS,GLIFOSATO + IMAZETAPIR,III,Lt
ROBUST,CLORPIRIFOS,Ib,Lt
CONVEY,TOPRAMEZONE,III,Cm3
GOTA GREEN,DODECIL BENCENO SULFONATO DE AMONIO,III,Lt
"POWER 43,6",GLIFOSATO ,IV,Lt
SECUESTRANTE J.O MAX LIQUIDO,EDTA TETRASODICO,IV,Lt
ADAMA RIMON SUPRA,NOVALURON,IV,Lt
TIFON,ETEFON,IV,Lt
DICAMBA SUMAGRO,DICAMBA EQUIVALENTE ACIDO,III,Lt
TALONIL 50 ,CLOROTALONIL,IV,Lt
TALONIL 72,CLOROTALONIL,III,Lt
PROCLAIM 5 SG,BENZOATO DE EMAMECTINA,II,Gr
NIEBLA MAS,ACEITE VEGETAL DE SOJA,IV,Lt
SULFOSATO TOUCHDOWN S,GLIFOSATO ,IV,Lt
INDAR ST,FENBUCONAZOLE,IV,Lt
KAISER MAX,GLIFOSATO ,IV,Kg
DOBLE ACAY,CARBARYL + METALDEHIDO,III,Kg
IMIDA 70 DVA,IMIDACLOPRID,II,Kg
NIVELAGRO 15+35,CARBENDAZIM + TIRAM,III,Lt
CERILLO,PARAQUAT + DIURON,II,Lt
VERDUGO,ACEFATO,III,Kg
"2,4D ICONA CE","2,4-D EQUIVALENTE ACIDO",II,Lt
JOINT,IMIDACLOPRID + TEBUCONAZOLE,II,Lt
CORRECTOR PARTNER LQ,ACIDO FOSFORICO,IV,Lt
FUNGI CROP 50,CARBENDAZIM,IV,Lt
LANCER 97 DF,ACEFATO,II,Kg
AXION PLUS BVA,ACEITE VEGETAL DE SOJA,IV,Lt
CAMPORIFOS 48,CLORPIRIFOS,II,Lt
GLEX S,FENITROTION,II,Lt
SANADOR,CARBENDAZIM + TIRAM,III,Lt
CICLON,METSULFURON METIL,III,Gr
DIRETH CONCENTRADO PLUS,CLORPIRIFOS + CIPERMETRINA + T.C.M.T.B.,IV,Lt
"ARAMINA 2,4D 60","2,4-D",II,Lt
PROTON,PROPICONAZOLE ,III,Lt
MIRK - OIL,ACEITE DE SOJA REFINADO,IV,Lt
ADAMA ESSENTIALS TRIBUNE,METRIBUZIN,III,Kg
AID OIL,ACEITE DE SOJA,IV,Lt
ADAMA ESSENTIALS SEEDOPRID 60 FS,IMIDACLOPRID,III,Lt
HUNTER AGROS,DICAMBA,III,Lt
DUOSEED II AGROS,IMIDACLOPRID + TEBUCONAZOLE,II,Lt
AMETRINA RED SURCOS,AMETRINA,IV,Kg
OPTIMEX H,ACIDO FOSFORICO,IV,Lt
MADEX,VIRUS DE LA GRANULOSIS DE CYDIA POMONELLA,IV,Lt
NUFARM CYPTRIN,CIPERMETRINA,III,Lt
NUFARM KLORPAN,CLORPIRIFOS,II,Lt
CLEAN SEED,TEBUCONAZOLE,IV,Lt
HUSSAR OD,IODOSULFURON METIL SODIO + METSULFURON METIL + ALCOHOL ALCOXILADO,IV,Lt
RINDER MICROSOLUBLE,GLIFOSATO ,III,Kg
RINDER MAX GRANULADO,GLIFOSATO ,III,Kg
GLIFOSATO FORTE,GLIFOSATO ,III,Lt
MIREX ESPACIAL,SULFLURAMIDA,III,Kg
MIX HORTAL CEBO,SULFLURAMIDA,IV,Kg
PHILPIRIFOS,CLORPIRIFOS,II,Lt
DELENTE CIPERMETRINA,CIPERMETRINA,II,Lt
LABEL,LAMBDACIALOTRINA,II,Lt
QUICKPHLO,FOSFURO DE ALUMINIO,Ia,Kg
ATRAZINA SINER,ATRAZINA,III,Lt
MUSTANG 20 EW,ZETAMETRINA,II,Lt
ZIPPER POWER,ALFACIPERMETRINA,II,Lt
ISHIMETRIN ACTIVE,ALFACIPERMETRINA,II,Lt
BACKUP 25,CLORIMURON ETIL,III,Gr
NUFARM MANCOZEB 75 WG,MANCOZEB,IV,Kg
MAXCEL,6 BENCILADENINA,IV,Kg
PUNTO 35,IMIDACLOPRID,II,Lt
PUNTO 60,IMIDACLOPRID,III,Lt
NEEMAZAL 1.2 EC,AZADIRACTINA,IV,Lt
BIOCITRUS POLVO,EXTRACTO DE PULPA Y SEMILLAS DE CITRICOS,IV,Kg
KRONEX TS,IMIDACLOPRID,II,Lt
WARRANT 70 WG,IMIDACLOPRID,III,Kg
KRONEK SC 35,IMIDACLOPRID,III,Lt
ATRAZINA 50 ARN EBC,ATRAZINA,III,Lt
EL MATACO PLUS,FENITROTION,IV,Kg
ATRAZINA 90 ARN EBC,ATRAZINA,III,Kg
CHECK MATE OFM - SL,Z8/E8 DODECENILACETATO,IV,Cebo
PITBUL 48,CLORPIRIFOS,II,Lt
GLIFOSATO GR ARN EBC,GLIFOSATO,III,Kg
TEBUCONAZOLE 43 ARN EBC,TEBUCONAZOLE,III,Lt
ATRAZINA 90 AGM,ATRAZINA,III,Kg
DICAMBA 58 AGM,DICAMBA,II,Lt
GLIFOMAX NG,GLIFOSATO ,III,Kg
EXILIS PLUS,6 BENCILADENINA,IV,Lt
POTENZA ULTRA,GLIFOSATO ,IV,Kg
CARBENDAZIM 50 CONTROLER,CARBENDAZIM,IV,Lt
CONFIDOR OD,IMIDACLOPRID,III,Lt
ACEITE VEGETAL AEC,ACEITE DE SOJA,IV,Lt
LECITHIN MAX,LECITINA DE SOJA,IV,Lt
HUSSAR OF,IODOSULFURON METIL SODIO+ FENOXAPROP -P-ETIL ,IV,Lt
CARBENDAZIM 50 MA,CARBENDAZIM,IV,Lt
PITCHER EC,CLETODIM,III,Lt
CLORPIRIFOS 48 MA,CLORPIRIFOS,II,Lt
CIPERMETRINA 25 MA,CIPERMETRINA,II,Lt
ATRAZINA FORMULAGRO,ATRAZINA,III,Lt
CLORPIRIFOS F 48,CLORPIRIFOS,II,Lt
PARAQUAT NUFARM,PARAQUAT,II,Lt
PRIMERO 75 WG,NICOSULFURON,III,Gr
METSULFURON METIL 60 WG DVA,METSULFURON METIL,III,Gr
SOWER DRESS,T.M.T.D. + METIL TIOFANATO,IV,Lt
CLORPIRIFOS 48 ARN EBC,CLORPIRIFOS,II,Lt
ASCARISCER EXTRA TACKLE POLVO GORGOJICIDA,DELTAMETRINA,II,Kg
AHINCO WET,NONIL FENOL ETOXILADO,IV,Lt
PHEROCON CM DA COMBO,"DODECADIENOL + DODECADIENOATO ETIL (2E,4Z)",IV,--
TALOSEM 50,CLOROTALONIL,IV,Lt
FUMETRINA,DELTAMETRINA,II,Lt
POTENZA II,GLIFOSATO,IV,Lt
SUPERCAMBA,DICAMBA,III,Lt
BASIC AGROS,"2,4-D",II,Lt
CHEM-UP FULL,GLIFOSATO ,III,Kg
CURASEMILLAS BEP,CARBENDAZIM + TIRAM,III,Lt
IMI SEED FLOW,IMIDACLOPRID,II,Lt
IMI MAX FLOW,IMIDACLOPRID,II,ml/Lt
CLORPIMAX,CLORPIRIFOS,II,Lt
CIPERTROID,CIPERMETRINA,II,Lt
PUFFER CM,"E,E-8,10 DODECADIENOL",IV,ml/Lt
PERDURE,FLUMETSULAM,IV,Lt
PRODINOLEO,ACEITE DE SOJA,IV,Lt
METIOFAN 50,METIL TIOFANATO ,IV,Lt
KATRIN 48,IMAZAPIR,III,Lt
HARVISTA TM TECHNOLOGY,METILCICLOPROPENO,IV,Gr
AHINCO SUPER,NONIL FENOL ETOXILADO,IV,Lt
CIANEX AGROS,IMIDACLOPRID + LAMBDACIALOTRINA,II,Lt
MAGTOXIN GRANULO,FOSFURO DE MAGNESIO,Ia,Gr
CIDETRAK DA MEC,"DODECADIENOATO ETIL (2E,4Z) 2,4",IV,Lt
CORRECTOR PLUS ARN EBC,ACIDO FOSFORICO,III,Lt
FYFANON,MERCAPTOTION,IV,Lt
MAIZAL FG,ATRAZINA,IV,Lt
BENOMIL RED SURCOS,BENOMIL,IV,Kg
"NEORAM 37,5 WG",OXICLORURO DE COBRE,IV,Kg
FUNSERV,CARBENDAZIM + TIRAM,II,Lt
TEBU 6 AGROS,TEBUCONAZOLE,IV,Lt
I. ULTRA LV,ACEITE MINERAL,III,Lt
I. ULTRA HV,ACEITE MINERAL,III,Lt
ABAMECTINA MARKETING AGRICOLA,ABAMECTINA,II,Lt
PONCHO 60 FS UNC SEMILLERO,CLOTIANIDIN,II,Lt
CIPERMETRINA 25 ARN EBC,CIPERMETRINA,II,Lt
DIMETOATO ARN EBC,DIMETOATO,II,Lt
ACTELLIC PLUS,PIRIMIFOS METIL + LAMBDACIALOTRINA,II,Lt
DOMARK + 10,TETRACONAZOLE,II,Lt
COBREQUIM 84 WP,OXICLORURO DE COBRE,II,Kg
VEGETOIL RED SURCOS,ACEITE VEGETAL DE SOJA,IV,Lt
MIRK OIL EXTRA GOLD,ACEITE DE SOJA REFINADO,IV,Lt
BIOSOJOIL,ACEITE DE SOJA REFINADO,IV,Lt
CARBENDAZIM 50ARN EBC,CARBENDAZIM,III,Lt
ELF PURESPRAY GREEN,ACEITE MINERAL,IV,Lt
PULSAR,LAMBDACIALOTRINA,II,Lt
ADAMA ESSENTIALS KOHINOR 35 SC,IMIDACLOPRID,III,Lt
NUFARM KAISO SORBIE,LAMBDACIALOTRINA,II,Kg
PHILCARB,CARBENDAZIM,IV,Lt
ACTIVE,NONIL FENOL ETOXILADO,IV,Lt
CAMPO TEN,NONIL FENOL ETOXILADO,IV,Lt
CAMPO VENT,NONIL FENOL ETOXILADO,IV,Lt
GLIFOSATO 48 ARN EBC,GLIFOSATO,III,Lt
CLORPIRIFOS SINER,CLORPIRIFOS,II,Lt
ADAMA ESSENTIALS ODEON 72 SC,CLOROTALONIL,IV,Lt
CLORPIRIFOS JNG,CLORPIRIFOS,II,Lt
CIPERMETRINA JNG ,CIPERMETRINA,II,Lt
CIPERMETRINA SINER,CIPERMETRINA,II,Lt
ATTACK,DELTAMETRINA,II,Lt
NUFARM TEBUCONAZOLE 43,TEBUCONAZOLE,IV,Lt
PLEDGE,ATRAZINA + FLUMIOXAZIN,III,Lt
BIOCITRUS,EXTRACTO DE PULPA Y SEMILLAS DE CITRICOS,IV,Lt
TOP RICE,IMAZAPIC + IMAZAPIR,III,Gr
FORCE ZEA,TIAMETOXAM + TEFLUTRINA,IV,Lt
HERBOXONE,PARAQUAT,II,Lt
FULL WET COR,NONIL FENOL ETOXILADO,III,Lt
AIKIDO,LAMBDACIALOTRINA,III,Lt
FITOCEL 75,CLOROMECUATO,II,Lt
RETAIN,AMINO ETOXIVINIL GLICINA,IV,Gr/Kg
HALLMARK,ESFENVALERATO,II,Lt
DINGO,IMIDACLOPRID,II,Lt
CARBENTEC 50,CARBENDAZIM,III,Lt
GLIFO PLUS OCH,GLIFOSATO,III,Lt
ATREX PLUS OCH,ATRAZINA,III,Lt
TIERMIL,MANCOZEB + CARBENDAZIM,IV,Kg
DICAMBA PHILAGRO,DICAMBA,III,Lt
PHILCONAZOL,TEBUCONAZOLE,IV,Lt
ATRACAMPO 50 FL,ATRAZINA,IV,Gr
MOVAL,FOSETIL ALUMINIO,IV,Kg
FUNGISEM,TIRAM,III,Lt
YPF GLIFOSATO HA,GLIFOSATO ,IV,Lt
EMERALD PRO,TETRACONAZOLE + CARBENDAZIM,III,Lt
TECNOFOS NEW,FOSFURO DE ALUMINIO,Ia,Kg
ECOADH KISILL,DODECIL BENCENO SULFONATO DE TRIETANOLAMINA Y SODIO,III,Lt
ELTRA STAR,CARBOSULFAN,Ib,Lt
GAMIT STAR,CLOMAZONE,III,Lt
HYDROMICRON 77 SALDECO,HIDROXIDO DE COBRE,II,Kg
TENWAT W,NONIL FENOL ETOXILADO,III,Lt
SALIX 80,"2,4-D EQUIVALENTE ACIDO",III,Kg
DEDALO,"2,4-D EQUIVALENTE ACIDO",III,Lt
DIMETOATO JNG,DIMETOATO,II,Lt
REVUS,MANDIPROPAMID,IV,Lt
PROA 90,ATRAZINA,IV,Lt
CRIOLLO,TEBUCONAZOLE + IMIDACLOPRID,II,Lt
ECO OIL,ACEITE DE SOJA,IV,Lt
TEBUCO NOVA 25,TEBUCONAZOLE,II,Lt
NUFARM MATRERO 60 FS,IMIDACLOPRID,III,Lt
CYPRESS,CYPROCONAZOLE + DIFENOCONAZOLE,III,Lt
PIRIFOS PLUS OCH,CLORPIRIFOS,II,Lt
MHO PLUS OCH,TEBUCONAZOLE,III,Lt
SINPLAG 48,CLORPIRIFOS,II,Lt
PATTON FLOW,PIRIMICARB,Ib,Lt
VAPAM,METAM SODIO,II,Lt
NITRASOIL 25,ALQUIL ARIL POLIGLICOL ETER,III,Lt
PONCHO SOL UNC SEMILLERO,CLOTIANIDIN + METIOCARB,II,Lt
DICAMBA MAX,DICAMBA,III,Lt
NAVIGATOR,DICAMBA,III,Lt
DIURON MAX FLOW,DIURON,IV,Lt
QUADRIS SOL,AZOXISTROBINA + DIFENOCONAZOLE,III,Lt
IMIDACLOPRID SQ 60,IMIDACLOPRID,III,Lt
ADAMA ESSENTIALS SUNSHINE,IMAZAPIR,II,Lt
MERIT GOLD,PYROXULAM + CLOQUINTOCET MEXIL,III,Lt
EMTHANE 80,MANCOZEB,III,Lt
CLOROTALONIL FARM CHEMICALS,CLOROTALONIL,IV,Lt
DIURON MAX PM,DIURON,IV,Kg
DANJIRI,ETHABOXAM,IV,Lt
CORAGEN,CLORANTRANILIPROLE,IV,Lt
ARROLLADOR,TEBUCONAZOLE,IV,Kg
BIO OIL,ACEITE DE SOJA,IV,Lt
SING OIL,ACEITE DE SOJA,IV,Lt
PITBUL,CLORPIRIFOS,II,Lt
BIODOX,ALCOHOL GRASO ETOXILADO,II,Lt
NU-FILM,PINOLENE,IV,Lt
MAJESTY GOLD,IMAZETAPIR,IV,Kg
TRIGALGO T,TIRAM,IV,Lt
PHILCAMBA,DICAMBA,III,Lt
NIFRAN,FLUAZINAM,IV,Lt
NAFUSAKU 16,ALFA NAFTALEN ACETATO DE SODIO,IV,Gr
IMIDA 60 PHILAGRO,IMIDACLOPRID,II,Gr
FLOW THIN PLUS 10-10 ,CARBENDAZIM + TIRAM,III,Lt
ESKOBA P,GLIFOSATO,III,Lt
IMIDA 35 DVA,IMIDACLOPRID,II,Lt
TAMIFUNE 50 SL,METAM POTASIO,II,Lt
PORTER,ACEITE VEGETAL DE SOJA,IV,Lt
DAARGUS TEBUCO 6 %,TEBUCONAZOLE,III,Lt
PHILSEED,TEBUCONAZOLE,IV,Lt
NUFARM CREDIT FULL,GLIFOSATO ,IV,Lt
FLUSAN,DIFLUFENICAN,IV,Lt
INFINITO,FLUOPICOLIDE + PROPAMOCARB,III,Lt
EVITO,FLUOXASTROBIN,IV,Lt
CHUCARO,CLOTIANIDIN + PROTHIOCONAZOLE + FLUOXASTROBIN + TEBUCONAZOLE,III,Lt
IMIDACLOPRID PERICON,IMIDACLOPRID,II,Lt
DIFFER MEDIUM,NONIL FENOL ETOXILADO,IV,Lt
PRINCE GOLD,GLIFOSATO + IMAZETAPIR,IV,Lt
HELMISTIN 50 SC,CARBENDAZIM,III,Lt
LOOP,NICOSULFURON,III,Lt
THIRAM CKC,TIRAM,III,Lt
REBELION,IMAZAPIC,IV,Lt
AZOR,IMIDACLOPRID,II,Lt
OTHAR 60,IMIDACLOPRID,II,Lt
IMVISA TM TECHNOLOGY,METILCICLOPROPENO,IV,Gr
PLATAFORMA SILICONADO,LECITINA DE SOJA,IV,Lt
IMIDACLOPRID 35 SUMAGRO,IMIDACLOPRID,II,ml/Lt
IPIRON 50 SC,LINURON,III,Lt
IMIDA JNG 35,IMIDACLOPRID,III,Lt
CLORPIRIFOS SHARDA 48,CLORPIRIFOS,II,Lt
TRIBUNE 48 SC,METRIBUZIN,III,Lt
"2,4D AMINA MAXX","2,4-D",III,Lt
GLIFOSATO SQ,GLIFOSATO ,III,Lt
TEBUPRID SQ,IMIDACLOPRID + TEBUCONAZOLE,II,Lt
ARACONAZOL 6,TEBUCONAZOLE,IV,Lt
ARAIMIDA 60 SC,IMIDACLOPRID,III,Lt
IMIDA JNG 60,IMIDACLOPRID,IV,Lt
TOTAL SUPER,GLIFOSATO ,III,Lt
BRAVO,IMIDACLOPRID,II,Lt
RINDER FULL,GLIFOSATO ,IV,Lt
TOCON,AMINOPYRALID,IV,Lt
CORRECTOR NIVELAGRO,ACIDO FOSFORICO,IV,Lt
SECUESTRANTE NIVELAGRO,EDTA TETRASODICO,IV,Lt
DIMETOATO HELM,DIMETOATO,II,Lt
DIVIDEND XTREME,DIFENOCONAZOLE + METALAXIL M,IV,Lt
DIVIDEND EXTRA,DIFENOCONAZOLE + FLUDIOXONIL,III,Lt
LINCE,GLIFOSATO + IMAZETAPIR,III,Lt
NUPRID MAX,IMIDACLOPRID + TEBUCONAZOLE,II,Lt
L-CITINA FULL STICK,LECITINA DE SOJA,IV,Lt
RIZO OIL,ACEITE VEGETAL DE SOJA,IV,Lt
FULL WET NL,NONIL FENOL ETOXILADO,III,Lt
SPINGARD 35,IMIDACLOPRID,II,Lt
CARBENDAZIM CIBEELES,CARBENDAZIM,III,Lt
BALEHON,CARBENDAZIM,IV,Lt
CIPERMETRINA SHARDA 25,CIPERMETRINA,II,Lt
ACRONIS,PYRACLOSTROBIN + METIL TIOFANATO,II,Lt
VICTORY,NICOSULFURON,III,Lt
MICROACTIVE 25,CIPERMETRINA,II,Lt
ADAMA ESSENTIALS IMATRON,IMAZAPIR,III,Lt
FLUROCLORIDONA NUFARM,FLUROCLORIDONA,IV,Lt
CARBENDAZIM 50 HELM,CARBENDAZIM,IV,Lt
VICTORY GOLD,NICOSULFURON,IV,Kg
CIGARAL 60 FS,IMIDACLOPRID,III,Lt
ADAMA ARROW LPU,CLETODIM,III,Lt
KAISER 70,IMIDACLOPRID,IV,Gr/Kg
NITRASOIL AVS,ACEITE DE SOJA,IV,Lt
MEKTAN,ALQUIL ARIL POLIGLICOL ETER,IV,Lt
ARAKAMBA 58,DICAMBA,II,Lt
NATURE,ALCOHOL LINEAL ETOXILADO,III,Lt
TESOL,TEBUCONAZOLE,IV,Lt
PH,ACIDO FOSFORICO,IV,Lt
CONTROLE ,DICAMBA,IV,Lt
ALLGRAM,GLIFOSATO,III,Kg
SALIX TERRIUM,"2,4-D",III,Kg
LECITHIN SILICON MAX,LECITINA DE SOJA,IV,Lt
MECTINA SURCOS,ABAMECTINA,III,Lt
COMBA,IMIDACLOPRID + LAMBDACIALOTRINA,II,Lt
CLIPEUS,LAMBDACIALOTRINA,II,Lt
CIPERMETRINA PRODINSA,CIPERMETRINA,II,Lt
FENOMYL,"2,4-D",II,Lt
FENIX GOLD,"2,4-D",II,Lt
FENIX,"2,4-D",II,Lt
ARAIMIDACLOPRID 35,IMIDACLOPRID,II,Lt
DICAMBA 58 TERRIUM,DICAMBA,II,Lt
WT 44 AD,ALQUIL FENOL POLIETILENGLICOL ,III,Lt
DROPP ULTRA SC,TIDIAZURON + DIURON,IV,Lt
GLIFOTOP ZAMBA,GLIFOSATO ,IV,Lt
DIFFER ULTRA,NONIL FENOL ETOXILADO,IV,Lt
GLIFOSATO SUPRA LDC,GLIFOSATO ,III,Lt
DMA 48,"2,4-D",II,Lt
FEZAN,TEBUCONAZOLE,III,Lt
COAD OIL,ACEITE MINERAL,III,Lt
GORPHOS IN,FOSFURO DE ALUMINIO,Ia,Kg
GLIFO PLUS II LA TIJERETA,GLIFOSATO ,IV,Lt
GLIFOSATO PRODINSA,GLIFOSATO ,III,Lt
AVALON,MANCOZEB,II,Kg
FUNSER 10+10,CARBENDAZIM + TIRAM,IV,Lt
PHILAMINA,"2,4-D EQUIVALENTE ACIDO",III,Lt
COVERSEED,IMIDACLOPRID,II,Lt
TROPIC,ACEITE DE SOJA,IV,Lt
BEMUS,DICAMBA,IV,Lt
DIFLUMAX,DIFLUBENZURON,III,Lt
ACTIVE OIL ECO,ACEITE DE SOJA,IV,Lt
KRISMAT,AMETRINA + TRIFLOXYSULFURON,II,Kg
CARB 50,CARBENDAZIM,III,Lt
GLYNOMYL,GLIFOSATO,III,Lt
GLYNOMYL K,GLIFOSATO,III,Lt
ROMETRI 48 SC,METRIBUZIN,III,Lt
RENAP 100,EXTRACTO DE AJO,IV,Lt
SOLY OIL VEGETAL,ACEITE DE SOJA,IV,Lt
GEKKO,ABAMECTINA,II,Lt
GLIFOCAS,GLIFOSATO,III,Lt
CLORPIRIFOS PRODINSA,CLORPIRIFOS,II,Lt
BACKUP WG,CLORIMURON ETIL,III,Gr
HUAGRO BABOTOX LIQ,META ACETALDEHIDO,III,Lt
ABAMECTINA JNG,ABAMECTINA,II,Lt
SYNFUME EXTRA,FOSFURO DE ALUMINIO,Ia,Kg
CLETODIM NOVA,CLETODIM,III,Lt
GLIFOSATO 62 LDC,GLIFOSATO ,III,Lt
METSULFURON 60 WG INSUAGRO,METSULFURON METIL,III,Gr
STARION,BIFENTRIN,II,Lt
"2,4D AMNA MAX","2,4-D",III,Lt
BAPROM L,BACILLUS THURINGIENSIS,IV,Lt
IMIDA JNG 70 WP,IMIDACLOPRID,III,Gr
RODEO,CARBENDAZIM + TIRAM,III,Lt
ONZA MAX,DELTAMETRINA,II,Lt
SABACE,ACEFATO,III,Kg
MAPUCHE 60,IMIDACLOPRID,II,Lt
YUNKE II AGROS,TEBUCONAZOLE + TIRAM,III,Lt
OXI-CU,OXICLORURO DE COBRE EQUIVALENTE COBRE METALICO,II,Kg
ATRAZINA CONTROLER,ATRAZINA,III,Lt
VOLTEO,LAMBDACIALOTRINA,II,Lt
MANCOZEB 80 SF,MANCOZEB,III,Kg
VOLIAM TARGO,CLORANTRANILIPROLE + ABAMECTINA,II,Lt
LAMBDA ASP 5,LAMBDACIALOTRINA,II,Lt
IMIDACLOPRID 35 FARM CHEMICALS,IMIDACLOPRID,II,LT/Cm3
ATHENA,BIFENTRIN,II,Lt
EXCELTO,TIAMETOXAM + TEFLUTRINA,IV,Lt
QUAKE,BIFENTRIN,II,Lt
COMPINCHE,DIFENOCONAZOLE + METALAXIL M,IV,Lt
MAXIPROD,ALCOHOL LINEAL ETOXILADO,III,Lt
FOSFURO JNG,FOSFURO DE ALUMINIO,Ia,Kg
ADHERENTE AEC,NONIL FENOL ETOXILADO,III,Lt
STARANE XTRA,FLUROXIPIR MEPTIL,IV,Lt
SENCORMAX,METRIBUZIN,II,Lt
EXTRA TACKLE LPU,DELTAMETRINA,IV,Lt
BUFALO,TEBUCONAZOLE + TIRAM,IV,Lt
IMIDACLOPRID 60 CIBELES,IMIDACLOPRID,II,Lt
SOWER MAGNUM,TEBUCONAZOLE,III,Lt
ATRACAMPO 90 WDG,ATRAZINA,III,Kg
ACTARA 75 SG,TIAMETOXAM,IV,Kg
CORRECTOR X-NNON,ACIDO FOSFORICO,IV,Lt
SYSTEMIC,TEBUCONAZOLE,IV,Lt
DELENTE MIREX,SULFLURAMIDA,III,Kg
UNION MAX,IMIDACLOPRID + LAMBDACIALOTRINA,II,Lt
ARAQUAT,PARAQUAT,II,Lt
CONCORDE,METOMINOSTROBIN,II,Lt
TEBUCONAZOL JNG 6,TEBUCONAZOLE,III,Lt
IMIDA ASP 35,IMIDACLOPRID,II,Lt
FENIDEL,DELTAMETRINA + TIERRA DE DIATOMEAS,IV,Kg
25 KODIAC,BIFENTRIN,II,Lt
RETAKER,ESFENVALERATO  + ACETAMIPRID,II,Lt
DECCOZIL 50,IMAZALIL,III,Lt
OILPRID,IMIDACLOPRID + ACEITE DE SOJA REFINADO,IV,Lt
PODER,LAMBDACIALOTRINA + IMIDACLOPRID,II,Lt
CURASEMILLAS NOVA PLUS,CARBENDAZIM + TIRAM,IV,Lt
ABRIGO,METIL TIOFANATO ,III,Lt
SERENADE MAX,BACILLUS SUBTILIS,IV,Kg
ZUKA,DIFENOCONAZOLE ,III,Lt
KALIBRE 25 MICROACTIVE,CIPERMETRINA,II,Lt
TOUCHE,IMIDACLOPRID + LAMBDACIALOTRINA,II,Lt
GESEISIMPACTO,NONIL FENOL ETOXILADO,III,Lt
DEFENSA,TIRAM + TEBUCONAZOLE,II,Lt
DIURON 80 RED SURCOS,DIURON,IV,Lt
DANIMEN,FENPROPATRINA,Ib,Lt
ALTORAT,BROMADIOLONE,III,Gr
SCENIC,PROTHIOCONAZOLE + FLUOXASTROBIN + TEBUCONAZOLE,III,Lt
ANTIDERIVA BIO,ALCOHOL LINEAL ETOXILADO,IV,Lt
ACTIVADOR BIO,ALCOHOL LINEAL ETOXILADO,IV,Lt
A 35 T BIO,ALCOHOL LINEAL ETOXILADO,IV,Lt
CARBENDAZIM 50 KAYKUN,CARBENDAZIM,III,Lt
BIOSPAM L,BACILLUS THURINGIENSIS,IV,Lt
BREAK THRU,HEPTAMETIL TRISILOXANO MODIFICADO,III,Lt
PHILLAMBDA,LAMBDACIALOTRINA,II,Lt
VOLIAM FLEXI,CLORANTRANILIPROLE + TIAMETOXAM,IV,Lt
"VERTIMEC 8,4 SC",ABAMECTINA,II,Lt
TOUCHDOWN HI TECH,GLIFOSATO,IV,Lt
SOWER FUGIMAX,TEBUCONAZOLE,III,Lt
FACYT,DODECIL BENCENO SULFONICO,II,Lt
TEBUCO  6,TEBUCONAZOLE,IV,Lt
LAMBDA 5 DVA,LAMBDACIALOTRINA,Ib,Lt
ATRAZINA 90 BIESTERFELD,ATRAZINA,III,Kg
GREEN TEBUCONAZOLE 43,TEBUCONAZOLE,IV,Lt
SOWER INLAND,IMIDACLOPRID,II,Lt
RADAR,ALCOHOL GRASO ETOXILADO,III,Lt
SENTINEL,CLORPIRIFOS,II,Kg
NEXIDE,GAMMA CIALOTRINA,III,Lt
SERENADE ASO,BACILLUS SUBTILIS,IV,Lt
ARCA,IMAZETAPIR,III,Lt
ACEITE MINERAL AEC,ACEITE MINERAL REFINADO,IV,Lt
KING LIX,"2,4-D",III,Kg
